Address,Price,Details
"Ngaglik, Sleman",Rp 1.195.000.000,3                                Kamar tidur                                    100 m?                                Bangunan                                     121 m?                                Lahan
"Godean, Sleman",Rp 1.099.000.000,3                                Kamar tidur                                    107 m?                                Bangunan                                     126 m?                                Lahan
"Pajangan, Bantul",Rp 285.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     72 m?                                Lahan
"Godean, Sleman",Rp 982.980.000,3                                Kamar tidur                                    78 m?                                Bangunan                                     100 m?                                Lahan
"Kasihan, Bantul",Rp 450.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     90 m?                                Lahan
"Umbulharjo, Yogyakarta",Rp 1.300.000.000,4                                Kamar tidur                                    135 m?                                Bangunan                                     135 m?                                Lahan
"Kalasan, Sleman",Rp 400.000.000,2                                Kamar tidur                                    64 m?                                Bangunan                                     89 m?                                Lahan
"Mlati, Sleman",Rp 975.000.000,4                                Kamar tidur                                    100 m?                                Bangunan                                     115 m?                                Lahan
"Ngaglik, Sleman",Rp 4.000.000.000,7                                Kamar tidur                                    400 m?                                Bangunan                                     460 m?                                Lahan
"Banguntapan, Bantul",Rp 470.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     94 m?                                Lahan
"Depok, Sleman",Rp 390.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     113 m?                                Lahan
"Gamping, Sleman",Rp 390.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     114 m?                                Lahan
"Kasihan, Bantul",Rp 375.000.000,3                                Kamar tidur                                    60 m?                                Bangunan                                     90 m?                                Lahan
"Bantul, Bantul",Rp 368.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     75 m?                                Lahan
